transaction_id,timestamp,amount,hour_of_day,day_of_week,merchant_category,merchant_category_encoded,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount,amount_deviation,is_international,is_online,card_age_days,account_balance_ratio,cardholder_country,merchant_country,label,label_text
TXN-L00328,2024-01-07 20:00:00,101.91,19,3,Entertainment,0,2,4,122.39,1.6368,0,0,1537,0.596,US,US,0,legitimate
TXN-L00648,2024-01-14 12:00:00,43.34,8,0,Travel,2,0,9,30.15,2.6852,0,0,2342,0.4256,US,CA,0,legitimate
TXN-L00897,2024-01-19 16:30:00,63.23,17,4,Healthcare,4,1,5,86.69,0.4438,0,0,2592,0.5853,US,US,0,legitimate
TXN-L03882,2024-03-21 21:00:00,8.64,10,1,Education,6,3,3,97.87,-2.0268,0,0,2747,0.2641,UK,CA,0,legitimate
TXN-L01123,2024-01-24 09:30:00,17.41,21,1,Food & Dining,4,0,6,30.7,-0.4603,0,0,1029,0.2629,US,US,0,legitimate
TXN-L01891,2024-02-09 09:30:00,54.95,17,1,Entertainment,4,2,5,28.69,0.1459,0,1,2449,0.3247,US,UK,0,legitimate
TXN-L04643,2024-04-06 17:30:00,218.99,13,4,Education,0,0,6,46.51,-0.4765,0,0,2653,0.0369,CA,US,0,legitimate
TXN-F00041,2024-01-04 10:00:00,1178.34,23,1,Crypto Exchange,8,5,19,116.79,2.6102,1,1,50,0.9822,UK,NG,1,fraud
TXN-L04529,2024-04-04 08:30:00,31.47,19,6,Travel,0,0,2,73.07,-0.0837,0,1,2128,0.1215,US,UK,0,legitimate
TXN-L04234,2024-03-29 05:00:00,11.44,10,1,Food & Dining,2,0,4,49.93,0.7923,0,1,2494,0.2922,UK,CA,0,legitimate
TXN-L01593,2024-02-03 04:30:00,134.82,19,2,Entertainment,0,0,8,32.88,-0.0843,0,0,1517,0.5869,UK,CA,0,legitimate
TXN-L03312,2024-03-10 00:00:00,439.68,14,6,Education,3,0,4,48.61,1.9528,0,0,1105,0.0193,UK,CA,0,legitimate
TXN-L02547,2024-02-23 01:30:00,31.04,10,1,Entertainment,4,2,1,85.93,-0.4512,1,0,914,0.5105,US,US,0,legitimate
TXN-L01545,2024-02-02 04:30:00,87.25,21,6,Food & Dining,5,1,5,17.03,0.6934,1,1,2725,0.512,AU,US,0,legitimate
TXN-L04336,2024-03-31 08:00:00,10.37,12,5,Retail,3,3,10,23.42,-0.365,0,0,1608,0.2967,US,US,0,legitimate
TXN-L01023,2024-01-22 07:30:00,465.11,14,2,Travel,0,3,7,30.41,-0.14,0,0,872,0.5115,US,US,0,legitimate
TXN-L01971,2024-02-11 01:30:00,2.89,10,6,Entertainment,0,4,3,100.24,-1.4224,0,1,1183,0.3881,UK,UK,0,legitimate
TXN-F00238,2024-01-20 20:00:00,5651.12,23,1,Jewelry,9,7,22,9.08,4.7167,1,1,89,0.9789,US,VN,1,fraud
TXN-L01714,2024-02-05 17:00:00,31.97,14,5,Retail,6,0,3,67.6,-0.6289,0,0,2152,0.1404,US,UK,0,legitimate
TXN-L01717,2024-02-05 18:30:00,66.06,16,3,Food & Dining,2,2,3,79.48,-0.6876,0,1,3380,0.0313,US,UK,0,legitimate
TXN-L01477,2024-01-31 18:30:00,83.06,18,6,Utilities,5,1,2,60.99,0.7307,0,0,2003,0.2155,CA,US,0,legitimate
TXN-L00809,2024-01-17 20:30:00,22.32,10,5,Education,1,1,5,37.01,0.1001,0,0,3643,0.5659,AU,UK,0,legitimate
TXN-L02850,2024-02-29 09:00:00,31.55,15,3,Healthcare,6,2,3,49.71,1.2119,0,0,1064,0.0778,US,US,0,legitimate
TXN-L00978,2024-01-21 09:00:00,11.2,21,2,Travel,5,0,4,56.28,1.4708,1,0,2766,0.252,AU,UK,0,legitimate
TXN-L04687,2024-04-07 15:30:00,21.11,9,2,Retail,6,2,6,29.75,0.9876,0,1,370,0.2058,CA,US,0,legitimate
TXN-F00145,2024-01-13 02:00:00,2676.36,1,0,Crypto Exchange,7,9,19,14.4,5.1501,1,1,71,0.9012,UK,PH,1,fraud
TXN-L01684,2024-02-05 02:00:00,16.79,8,4,Food & Dining,2,1,8,12.91,0.5551,0,0,2806,0.2701,US,CA,0,legitimate
TXN-L04660,2024-04-07 02:00:00,240.32,8,3,Education,1,1,3,167.52,-0.3769,0,0,2775,0.2113,AU,CA,0,legitimate
TXN-L01514,2024-02-01 13:00:00,50.27,16,2,Utilities,6,1,2,24.26,0.8535,0,1,476,0.5486,US,US,0,legitimate
TXN-L02404,2024-02-20 02:00:00,291.04,8,6,Healthcare,2,0,6,34.61,-2.7955,0,0,554,0.4738,AU,CA,0,legitimate
TXN-L02021,2024-02-12 02:30:00,72.05,19,0,Travel,6,1,3,83.77,-0.2333,0,1,188,0.5931,UK,CA,0,legitimate
TXN-L04553,2024-04-04 20:30:00,20.78,18,5,Entertainment,2,0,4,81.97,1.0478,0,0,1198,0.1607,US,UK,0,legitimate
TXN-L01767,2024-02-06 19:30:00,45.79,15,6,Utilities,1,2,10,22.74,0.4356,0,0,1621,0.1698,US,CA,0,legitimate
TXN-L00174,2024-01-04 15:00:00,72.0,18,4,Food & Dining,4,1,4,22.78,-0.0878,0,0,2401,0.5593,US,US,0,legitimate
TXN-L01554,2024-02-02 09:00:00,43.53,19,4,Entertainment,4,0,7,120.4,-1.0146,0,0,528,0.1677,UK,US,0,legitimate
TXN-L04215,2024-03-28 19:30:00,95.42,12,4,Retail,0,1,4,141.55,-0.3272,0,0,2031,0.3979,US,UK,0,legitimate
TXN-L01482,2024-01-31 21:00:00,307.04,16,1,Food & Dining,4,2,3,443.9,0.9525,0,0,1859,0.2468,US,US,0,legitimate
TXN-L04461,2024-04-02 22:30:00,347.01,10,2,Education,4,4,5,53.82,-0.7441,0,0,2700,0.2198,US,UK,0,legitimate
TXN-L00217,2024-01-05 12:30:00,43.09,17,6,Retail,1,0,4,32.56,-0.0348,0,1,3131,0.1688,US,US,0,legitimate
TXN-L03914,2024-03-22 13:00:00,12.19,12,6,Travel,6,2,5,40.67,0.0187,0,0,2569,0.1007,AU,US,0,legitimate
TXN-L03720,2024-03-18 12:00:00,147.76,15,0,Entertainment,0,2,6,50.95,1.1693,0,1,1510,0.1783,US,US,0,legitimate
TXN-L00690,2024-01-15 09:00:00,38.06,19,4,Entertainment,4,0,5,141.66,-2.1489,0,0,833,0.5949,AU,UK,0,legitimate
TXN-L02577,2024-02-23 16:30:00,147.95,12,6,Retail,2,1,2,12.38,0.5908,0,0,3444,0.5552,US,CA,0,legitimate
TXN-L02233,2024-02-16 12:30:00,133.3,15,3,Utilities,6,0,5,70.71,-0.7214,1,0,2252,0.4697,US,UK,0,legitimate
TXN-L02238,2024-02-16 15:00:00,36.34,20,6,Healthcare,6,0,6,362.92,-1.1646,0,1,1507,0.0161,US,US,0,legitimate
TXN-L01106,2024-01-24 01:00:00,100.76,16,6,Travel,2,0,4,59.5,0.0383,0,0,2655,0.2272,UK,UK,0,legitimate
TXN-L01789,2024-02-07 06:30:00,208.61,16,3,Entertainment,4,0,5,94.03,0.9451,0,0,2072,0.0087,US,US,0,legitimate
TXN-L03188,2024-03-07 10:00:00,133.35,9,4,Utilities,5,1,3,84.72,0.3931,0,0,229,0.4763,US,US,0,legitimate
TXN-L02436,2024-02-20 18:00:00,47.87,18,2,Food & Dining,3,4,9,16.18,1.6193,0,0,2550,0.3221,AU,US,0,legitimate
TXN-L00611,2024-01-13 17:30:00,51.65,17,2,Healthcare,5,0,11,110.1,-0.9117,0,0,3245,0.5576,AU,UK,0,legitimate
TXN-L03660,2024-03-17 06:00:00,38.09,16,0,Food & Dining,6,1,5,36.63,-0.4014,1,1,2134,0.1388,UK,CA,0,legitimate
TXN-L03711,2024-03-18 07:30:00,14.65,18,4,Utilities,5,3,6,38.33,-0.2914,0,0,1639,0.5919,US,US,0,legitimate
TXN-L00576,2024-01-13 00:00:00,69.1,17,5,Education,0,0,3,51.59,0.3558,1,1,1573,0.3524,US,US,0,legitimate
TXN-L02063,2024-02-12 23:30:00,49.24,14,4,Healthcare,5,1,6,70.25,-0.1078,0,1,2850,0.4613,AU,US,0,legitimate
TXN-L04435,2024-04-02 09:30:00,109.49,12,3,Education,4,0,1,58.01,0.5845,0,0,2683,0.3294,US,US,0,legitimate
TXN-L01180,2024-01-25 14:00:00,65.36,18,5,Education,0,3,9,349.49,1.1903,0,0,1729,0.5828,US,US,0,legitimate
TXN-L00888,2024-01-19 12:00:00,98.56,20,4,Utilities,1,0,7,38.48,0.2511,0,0,3465,0.2736,UK,CA,0,legitimate
TXN-L03128,2024-03-06 04:00:00,58.71,8,2,Education,3,0,3,61.08,2.0248,0,1,3342,0.1815,US,US,0,legitimate
TXN-L01732,2024-02-06 02:00:00,53.55,11,3,Education,3,1,9,67.57,-1.1241,0,1,314,0.3456,US,US,0,legitimate
TXN-L02663,2024-02-25 11:30:00,21.15,13,3,Education,1,1,5,30.24,-1.2778,0,1,2461,0.1904,US,US,0,legitimate
TXN-L00817,2024-01-18 00:30:00,132.9,8,1,Entertainment,1,0,3,27.21,-0.3899,0,1,1390,0.4783,UK,US,0,legitimate
TXN-L03277,2024-03-09 06:30:00,62.45,17,0,Travel,1,2,5,69.43,0.4094,0,0,3067,0.1276,US,CA,0,legitimate
TXN-L01859,2024-02-08 17:30:00,70.83,10,1,Healthcare,1,1,4,13.16,0.3337,0,0,1411,0.2189,US,US,0,legitimate
TXN-L00208,2024-01-05 08:00:00,91.38,20,6,Food & Dining,5,3,3,24.26,0.2145,0,0,3356,0.4971,AU,UK,0,legitimate
TXN-L00293,2024-01-07 02:30:00,127.69,12,4,Food & Dining,4,1,7,14.73,0.1045,0,0,1209,0.3867,US,US,0,legitimate
TXN-L01119,2024-01-24 07:30:00,156.12,18,3,Food & Dining,0,0,3,46.69,-0.9484,0,0,367,0.3647,AU,CA,0,legitimate
TXN-L02213,2024-02-16 02:30:00,34.74,8,5,Healthcare,5,3,3,81.0,-0.1944,1,1,1216,0.5121,US,US,0,legitimate
TXN-L01609,2024-02-03 12:30:00,42.42,17,3,Healthcare,2,0,7,75.3,0.8541,1,0,217,0.2687,US,US,0,legitimate
TXN-L01264,2024-01-27 08:00:00,64.67,20,6,Healthcare,5,0,6,11.76,-0.9808,1,0,2097,0.5976,US,UK,0,legitimate
TXN-L00990,2024-01-21 15:00:00,67.25,13,5,Education,6,0,6,168.08,0.275,0,1,3641,0.5793,US,US,0,legitimate
TXN-L04197,2024-03-28 10:30:00,11.41,8,5,Entertainment,6,2,8,39.8,1.0557,0,0,1276,0.3823,US,US,0,legitimate
TXN-L01616,2024-02-03 16:00:00,73.61,20,0,Utilities,5,0,4,48.8,-0.2028,0,0,776,0.1283,US,US,0,legitimate
TXN-L00353,2024-01-08 08:30:00,46.53,14,5,Food & Dining,4,1,10,36.79,-0.6628,0,1,869,0.0511,UK,US,0,legitimate
TXN-L04557,2024-04-04 22:30:00,78.27,18,1,Education,3,0,0,30.14,-1.0074,0,0,3622,0.3391,UK,US,0,legitimate
TXN-L02022,2024-02-12 03:00:00,212.87,11,3,Healthcare,3,0,9,123.78,0.4778,0,0,2226,0.5924,UK,US,0,legitimate
TXN-L03690,2024-03-17 21:00:00,93.07,11,5,Education,1,0,5,45.62,0.3127,0,1,3201,0.2925,AU,US,0,legitimate
TXN-L02555,2024-02-23 05:30:00,93.19,14,3,Retail,0,1,4,40.09,0.6422,0,0,1786,0.4369,US,CA,0,legitimate
TXN-L03048,2024-03-04 12:00:00,83.55,10,4,Travel,4,1,3,15.02,2.0252,0,1,2381,0.1881,US,UK,0,legitimate
TXN-L01228,2024-01-26 14:00:00,143.15,14,3,Utilities,5,0,4,159.3,-0.9442,0,1,1106,0.5909,UK,US,0,legitimate
TXN-L00259,2024-01-06 09:30:00,118.47,15,6,Utilities,5,0,4,7.49,-0.0885,0,0,3621,0.5936,UK,US,0,legitimate
TXN-L01519,2024-02-01 15:30:00,348.66,21,0,Travel,1,0,4,77.23,-1.0712,0,1,2357,0.5044,US,US,0,legitimate
TXN-L01777,2024-02-07 00:30:00,52.61,19,6,Education,1,2,4,54.39,1.0727,1,1,1755,0.1052,US,US,0,legitimate
TXN-L04739,2024-04-08 17:30:00,110.11,20,4,Utilities,4,0,4,128.3,0.6039,0,0,2220,0.0288,US,US,0,legitimate
TXN-L01770,2024-02-06 21:00:00,57.03,16,0,Food & Dining,4,0,5,24.17,1.03,0,0,1838,0.5972,US,CA,0,legitimate
TXN-L04353,2024-03-31 16:30:00,10.25,20,6,Education,1,1,8,49.99,0.4596,1,0,2637,0.2277,AU,US,0,legitimate
TXN-L00052,2024-01-02 02:00:00,27.75,21,3,Retail,0,1,6,24.64,-0.0907,0,0,608,0.3952,US,US,0,legitimate
TXN-L03473,2024-03-13 08:30:00,18.9,11,0,Utilities,4,0,5,40.95,1.6506,0,0,3566,0.0818,US,US,0,legitimate
TXN-L04683,2024-04-07 13:30:00,27.13,21,2,Utilities,1,1,3,70.99,0.8784,0,0,1991,0.0173,US,US,0,legitimate
TXN-L04411,2024-04-01 21:30:00,51.36,8,6,Food & Dining,6,1,3,102.62,1.4132,0,0,423,0.3223,CA,US,0,legitimate
TXN-L02409,2024-02-20 04:30:00,17.32,14,4,Food & Dining,0,0,5,139.15,0.817,0,1,3127,0.1788,CA,US,0,legitimate
TXN-L02787,2024-02-28 01:30:00,14.94,15,5,Retail,5,0,4,150.01,1.169,0,1,2255,0.4105,UK,CA,0,legitimate
TXN-L02344,2024-02-18 20:00:00,6.34,8,0,Retail,0,2,6,62.0,-1.3332,0,1,835,0.4134,CA,US,0,legitimate
TXN-L01033,2024-01-22 12:30:00,104.29,13,6,Education,3,0,6,28.48,0.3652,0,0,740,0.0567,CA,UK,0,legitimate
TXN-L01097,2024-01-23 20:30:00,7.4,13,4,Education,4,1,4,18.62,-0.7423,0,0,2984,0.1446,UK,UK,0,legitimate
TXN-L00543,2024-01-12 07:30:00,230.8,18,6,Entertainment,0,4,10,40.04,0.67,0,1,1460,0.3767,US,CA,0,legitimate
TXN-L01046,2024-01-22 19:00:00,104.83,8,0,Utilities,6,1,6,119.35,-0.8052,1,0,677,0.1366,US,US,0,legitimate
TXN-L01894,2024-02-09 11:00:00,49.98,14,1,Education,0,2,6,55.89,-2.6641,0,1,2603,0.3353,US,UK,0,legitimate
TXN-L04376,2024-04-01 04:00:00,5.1,18,4,Utilities,5,1,3,43.25,-0.3026,0,0,246,0.2483,US,US,0,legitimate
TXN-L00030,2024-01-01 15:00:00,29.91,11,3,Healthcare,5,1,7,10.34,0.298,0,1,3183,0.467,US,CA,0,legitimate
TXN-L00725,2024-01-16 02:30:00,45.42,14,0,Retail,3,1,6,100.27,0.6093,0,1,2456,0.3369,UK,US,0,legitimate
TXN-F00211,2024-01-18 14:00:00,579.41,23,4,Jewelry,8,12,21,46.73,1.2078,1,1,75,0.9349,US,VN,1,fraud
TXN-L04718,2024-04-08 07:00:00,112.49,11,0,Travel,1,1,7,40.52,0.1909,0,1,2665,0.2904,CA,US,0,legitimate
TXN-L03903,2024-03-22 07:30:00,21.27,15,2,Education,2,1,4,45.63,-0.4801,0,0,1124,0.5776,US,CA,0,legitimate
TXN-L01426,2024-01-30 17:00:00,426.75,12,3,Travel,0,0,2,254.66,1.8044,0,0,398,0.23,US,US,0,legitimate
TXN-L02497,2024-02-22 00:30:00,41.27,17,4,Retail,5,1,4,22.99,0.7554,0,0,2493,0.3234,US,UK,0,legitimate
TXN-L00436,2024-01-10 02:00:00,278.28,16,1,Entertainment,6,0,3,111.79,-1.104,0,1,1975,0.0526,US,US,0,legitimate
TXN-L02470,2024-02-21 11:00:00,159.65,12,2,Retail,4,0,5,30.77,0.4293,0,0,2076,0.3558,US,US,0,legitimate
TXN-L00912,2024-01-20 00:00:00,70.06,8,0,Education,4,0,6,96.99,0.7599,0,0,2578,0.1928,AU,UK,0,legitimate
TXN-L04222,2024-03-28 23:00:00,54.3,19,5,Food & Dining,3,2,5,43.6,0.5843,0,1,3065,0.1548,US,UK,0,legitimate
TXN-L04352,2024-03-31 16:00:00,42.56,12,6,Travel,0,0,3,7.88,-0.2303,0,0,974,0.5013,UK,CA,0,legitimate
TXN-L04512,2024-04-04 00:00:00,30.29,9,0,Utilities,5,1,1,28.66,0.6507,0,0,3117,0.3932,US,CA,0,legitimate
TXN-L04443,2024-04-02 13:30:00,107.79,11,0,Utilities,1,2,3,69.92,-0.645,0,0,3232,0.1764,CA,US,0,legitimate
TXN-L02287,2024-02-17 15:30:00,42.46,18,1,Utilities,0,1,6,43.38,-0.0051,1,0,326,0.27,AU,US,0,legitimate
TXN-L04597,2024-04-05 18:30:00,198.6,10,5,Education,3,1,6,77.0,0.0221,0,1,2278,0.5715,US,US,0,legitimate
TXN-L01238,2024-01-26 19:00:00,96.45,14,6,Healthcare,3,0,6,105.14,-0.0055,0,0,1430,0.5879,UK,US,0,legitimate
TXN-L00903,2024-01-19 19:30:00,196.07,18,4,Education,2,3,4,48.14,0.3998,0,0,631,0.2028,AU,US,0,legitimate
TXN-L03620,2024-03-16 10:00:00,13.83,19,6,Education,1,1,2,37.8,-0.8233,0,0,1259,0.251,AU,US,0,legitimate
TXN-L03231,2024-03-08 07:30:00,7.2,15,6,Healthcare,0,1,4,39.85,1.194,0,0,2637,0.5591,AU,US,0,legitimate
TXN-L02859,2024-02-29 13:30:00,66.29,16,3,Healthcare,4,0,5,12.59,0.3695,0,0,640,0.0842,US,US,0,legitimate
TXN-L00507,2024-01-11 13:30:00,23.01,11,3,Healthcare,3,1,4,50.08,0.8051,0,0,2671,0.0901,CA,US,0,legitimate
TXN-L03221,2024-03-08 02:30:00,116.45,9,1,Healthcare,2,0,8,146.3,1.4818,0,0,2381,0.3535,US,US,0,legitimate
TXN-L00183,2024-01-04 19:30:00,88.45,18,5,Food & Dining,6,0,2,162.88,0.4344,1,0,750,0.5957,US,US,0,legitimate
TXN-L01564,2024-02-02 14:00:00,114.07,12,1,Healthcare,6,0,3,40.9,0.79,0,1,3545,0.0517,AU,CA,0,legitimate
TXN-L02704,2024-02-26 08:00:00,70.06,13,1,Retail,5,1,5,126.36,-0.8494,0,0,275,0.5276,US,CA,0,legitimate
TXN-L00321,2024-01-07 16:30:00,99.0,20,5,Retail,4,1,4,233.0,1.666,0,0,3475,0.1792,US,US,0,legitimate
TXN-L03563,2024-03-15 05:30:00,180.29,15,1,Education,0,0,5,116.34,1.1746,0,0,1615,0.4923,CA,CA,0,legitimate
TXN-L01538,2024-02-02 01:00:00,16.95,8,2,Utilities,5,1,5,21.3,2.5298,0,0,1553,0.3721,US,UK,0,legitimate
TXN-L01837,2024-02-08 06:30:00,60.86,8,4,Utilities,1,1,5,75.3,2.2416,0,1,2241,0.4819,US,US,0,legitimate
TXN-L02380,2024-02-19 14:00:00,20.83,14,2,Education,5,0,4,31.1,0.1486,0,0,3330,0.4368,US,UK,0,legitimate
TXN-L01912,2024-02-09 20:00:00,103.34,19,4,Entertainment,4,0,4,45.25,0.6093,0,0,3057,0.2215,US,UK,0,legitimate
TXN-L01840,2024-02-08 08:00:00,48.01,14,2,Entertainment,6,0,3,51.89,-0.9546,0,0,2457,0.1622,US,US,0,legitimate
TXN-L02115,2024-02-14 01:30:00,32.68,8,2,Education,5,0,0,29.64,-1.3107,0,1,2143,0.2519,AU,US,0,legitimate
TXN-L04437,2024-04-02 10:30:00,41.57,18,1,Food & Dining,4,1,2,7.41,-0.6426,0,0,1964,0.4749,UK,UK,0,legitimate
TXN-L01146,2024-01-24 21:00:00,18.24,21,2,Education,2,2,5,80.84,0.0949,0,0,3430,0.1448,US,US,0,legitimate
TXN-L02486,2024-02-21 19:00:00,37.07,13,4,Retail,4,1,4,39.37,-0.5784,0,0,1054,0.2112,CA,CA,0,legitimate
TXN-L00044,2024-01-01 22:00:00,12.45,16,0,Utilities,5,1,6,96.06,0.8184,0,0,2636,0.5423,US,CA,0,legitimate
TXN-L02154,2024-02-14 21:00:00,15.48,13,5,Entertainment,3,0,2,35.57,-0.0624,0,0,807,0.1496,UK,UK,0,legitimate
TXN-L01526,2024-02-01 19:00:00,359.45,8,6,Entertainment,4,2,3,76.01,1.6681,0,0,2570,0.1027,UK,US,0,legitimate
TXN-F00105,2024-01-09 18:00:00,251.17,23,3,Crypto Exchange,7,9,20,43.88,0.4569,1,0,72,0.8404,UK,VN,1,fraud
TXN-L01378,2024-01-29 17:00:00,29.8,18,1,Food & Dining,2,0,5,28.24,-0.1562,0,0,1443,0.3495,US,UK,0,legitimate
TXN-L01765,2024-02-06 18:30:00,23.49,11,4,Travel,6,3,8,18.93,0.5299,0,1,2158,0.4739,CA,US,0,legitimate
TXN-L03012,2024-03-03 18:00:00,15.07,19,3,Education,4,0,4,41.72,-0.0771,0,0,1365,0.3948,US,US,0,legitimate
TXN-L00413,2024-01-09 14:30:00,195.91,21,2,Entertainment,4,0,5,40.16,-1.0258,0,1,1354,0.4354,US,CA,0,legitimate
TXN-L04284,2024-03-30 06:00:00,25.05,16,0,Entertainment,0,0,1,27.53,0.0667,1,0,802,0.3962,US,US,0,legitimate
TXN-L01407,2024-01-30 07:30:00,245.02,10,5,Travel,2,2,9,142.26,0.6005,0,0,3568,0.3156,AU,US,0,legitimate
TXN-L01658,2024-02-04 13:00:00,19.95,21,5,Education,5,0,6,54.51,0.0117,0,0,205,0.0588,US,CA,0,legitimate
TXN-L00801,2024-01-17 16:30:00,32.59,19,4,Entertainment,0,1,6,40.62,0.7913,1,0,2009,0.1217,US,US,0,legitimate
TXN-L01288,2024-01-27 20:00:00,18.11,16,4,Education,5,3,6,13.68,-2.0007,0,0,802,0.5857,US,US,0,legitimate
TXN-L02182,2024-02-15 11:00:00,45.59,12,2,Retail,5,1,4,239.83,-0.7359,0,0,525,0.5202,AU,US,0,legitimate
TXN-L02588,2024-02-23 22:00:00,24.53,12,4,Healthcare,5,3,3,137.38,-0.5203,0,0,3196,0.5729,US,US,0,legitimate
TXN-L02615,2024-02-24 11:30:00,106.52,19,4,Utilities,1,4,4,96.85,-0.4557,0,0,3647,0.3399,US,US,0,legitimate
TXN-L02318,2024-02-18 07:00:00,31.24,18,2,Utilities,5,2,14,100.74,-0.2314,0,0,550,0.1177,US,US,0,legitimate
TXN-L00256,2024-01-06 08:00:00,193.82,17,0,Education,5,1,5,108.17,0.3397,0,0,1111,0.3208,AU,US,0,legitimate
TXN-L04541,2024-04-04 14:30:00,381.91,14,2,Entertainment,5,0,2,11.24,2.7257,0,0,2691,0.181,CA,US,0,legitimate
TXN-L01729,2024-02-06 00:30:00,343.16,14,4,Utilities,2,2,2,152.35,0.0106,0,0,2225,0.3635,AU,US,0,legitimate
TXN-L01151,2024-01-24 23:30:00,6.34,12,4,Retail,1,1,6,66.77,-0.4131,0,0,3620,0.4672,US,UK,0,legitimate
TXN-L04144,2024-03-27 08:00:00,11.95,18,5,Travel,5,2,1,29.11,-0.6978,0,1,3458,0.5308,US,US,0,legitimate
TXN-L00647,2024-01-14 11:30:00,51.71,15,4,Utilities,3,1,2,91.23,-1.6732,1,0,2407,0.1113,US,UK,0,legitimate
TXN-L02908,2024-03-01 14:00:00,34.81,8,2,Education,5,0,6,100.09,-0.483,0,0,2050,0.2214,US,UK,0,legitimate
TXN-L01702,2024-02-05 11:00:00,103.0,13,3,Food & Dining,3,1,5,21.35,0.0234,0,0,556,0.4384,UK,US,0,legitimate
TXN-L01881,2024-02-09 04:30:00,274.67,13,4,Healthcare,4,1,2,103.41,-0.0711,0,0,1652,0.3023,AU,CA,0,legitimate
TXN-L03768,2024-03-19 12:00:00,106.13,16,6,Utilities,0,0,2,9.6,0.1904,0,0,3177,0.031,US,US,0,legitimate
TXN-L01315,2024-01-28 09:30:00,14.7,16,0,Entertainment,5,0,3,53.48,0.1077,0,1,2172,0.2671,AU,US,0,legitimate
TXN-L02269,2024-02-17 06:30:00,50.32,13,6,Education,2,4,6,48.51,0.2864,1,0,2892,0.5505,US,CA,0,legitimate
TXN-L01966,2024-02-10 23:00:00,44.82,21,5,Entertainment,1,3,6,50.23,0.8883,0,0,2658,0.1256,US,US,0,legitimate
TXN-L02465,2024-02-21 08:30:00,132.59,18,6,Food & Dining,1,1,10,84.08,0.0891,0,0,1981,0.3697,UK,UK,0,legitimate
TXN-L03855,2024-03-21 07:30:00,46.93,16,5,Healthcare,5,1,5,38.8,-0.1943,0,0,2640,0.0813,UK,UK,0,legitimate
TXN-L01350,2024-01-29 03:00:00,16.94,11,4,Retail,6,2,3,32.45,-0.9311,0,0,1776,0.371,AU,US,0,legitimate
TXN-L03296,2024-03-09 16:00:00,291.89,18,2,Healthcare,3,3,10,33.08,-0.7787,0,0,1432,0.4272,CA,US,0,legitimate
TXN-L00112,2024-01-03 08:00:00,57.99,11,6,Utilities,6,2,5,8.97,0.4718,0,0,806,0.2585,US,US,0,legitimate
TXN-L03133,2024-03-06 06:30:00,243.46,16,6,Education,0,0,1,72.3,0.8458,0,0,337,0.1001,US,US,0,legitimate
TXN-L00263,2024-01-06 11:30:00,19.6,18,0,Entertainment,1,0,3,62.63,-1.1368,0,0,1141,0.4537,US,US,0,legitimate
TXN-L01393,2024-01-30 00:30:00,62.59,13,1,Education,5,1,10,9.16,0.4064,0,0,709,0.3565,US,CA,0,legitimate
TXN-L01878,2024-02-09 03:00:00,10.14,21,4,Healthcare,1,2,2,31.79,0.1394,0,0,3150,0.4932,US,US,0,legitimate
TXN-L01186,2024-01-25 17:00:00,20.44,21,5,Utilities,6,2,8,33.85,0.8112,0,0,1868,0.1939,US,US,0,legitimate
TXN-L03071,2024-03-04 23:30:00,299.62,9,5,Retail,1,1,10,72.46,-0.2612,1,0,741,0.494,US,CA,0,legitimate
TXN-L00056,2024-01-02 04:00:00,23.59,10,1,Travel,4,0,3,129.11,-1.3538,0,0,2025,0.1778,US,CA,0,legitimate
TXN-L01309,2024-01-28 06:30:00,87.77,8,2,Food & Dining,4,0,1,18.95,-1.6686,0,0,2500,0.1003,US,CA,0,legitimate
TXN-L00695,2024-01-15 11:30:00,40.06,17,1,Retail,2,0,2,96.06,0.2332,0,0,918,0.2299,UK,CA,0,legitimate
TXN-L02952,2024-03-02 12:00:00,87.07,19,0,Entertainment,4,0,2,62.62,-2.0899,0,0,944,0.562,US,CA,0,legitimate
TXN-L01726,2024-02-05 23:00:00,31.95,20,5,Education,4,1,5,18.1,0.464,0,0,780,0.1142,US,US,0,legitimate
TXN-L02091,2024-02-13 13:30:00,73.73,16,3,Healthcare,0,1,9,64.61,0.1674,0,1,2235,0.1182,UK,US,0,legitimate
TXN-L03869,2024-03-21 14:30:00,147.84,9,3,Food & Dining,6,1,8,123.85,-0.8885,0,0,2875,0.1685,US,US,0,legitimate
TXN-L00319,2024-01-07 15:30:00,47.94,10,5,Travel,5,1,3,99.2,-0.1846,0,0,594,0.0596,UK,CA,0,legitimate
TXN-L04320,2024-03-31 00:00:00,53.52,10,6,Entertainment,2,0,5,20.07,1.4515,0,1,3096,0.0632,US,CA,0,legitimate
TXN-L00682,2024-01-15 05:00:00,32.31,19,1,Healthcare,1,1,6,47.14,0.807,0,0,2878,0.0849,CA,US,0,legitimate
TXN-L03841,2024-03-21 00:30:00,26.85,8,6,Education,5,1,6,114.72,-0.662,0,0,2523,0.4684,UK,US,0,legitimate
TXN-L03213,2024-03-07 22:30:00,250.44,20,3,Healthcare,5,2,4,96.06,-0.9415,0,0,453,0.3169,US,US,0,legitimate
TXN-L02002,2024-02-11 17:00:00,24.72,17,5,Education,1,2,9,115.02,-1.7473,0,0,3135,0.1025,US,UK,0,legitimate
TXN-F00032,2024-01-03 16:00:00,534.22,3,2,Crypto Exchange,7,5,19,128.69,1.0292,0,1,12,0.8669,US,VN,1,fraud
